state,threshold,linkage_type,county,facility_type,n_qualifying_facilities,n_total_facilities_in_stratum,pct_qualifying
Washington,2,phone,ALL,ALL,164,3457,4.7
Washington,2,address,ALL,ALL,2,3457,0.1
Washington,2,combined,ALL,ALL,166,3457,4.8
Washington,3,phone,ALL,ALL,50,3457,1.4
Washington,3,address,ALL,ALL,0,3457,0.0
Washington,3,combined,ALL,ALL,50,3457,1.4
Washington,4,phone,ALL,ALL,20,3457,0.6
Washington,4,address,ALL,ALL,0,3457,0.0
Washington,4,combined,ALL,ALL,20,3457,0.6
Washington,5,phone,ALL,ALL,0,3457,0.0
Washington,5,address,ALL,ALL,0,3457,0.0
Washington,5,combined,ALL,ALL,0,3457,0.0
Washington,2,phone,King,ALL,95,1795,5.3
Washington,2,address,King,ALL,0,1795,0.0
Washington,2,combined,King,ALL,95,1795,5.3
Washington,3,phone,King,ALL,33,1795,1.8
Washington,3,address,King,ALL,0,1795,0.0
Washington,3,combined,King,ALL,33,1795,1.8
Washington,4,phone,King,ALL,12,1795,0.7
Washington,4,address,King,ALL,0,1795,0.0
Washington,4,combined,King,ALL,12,1795,0.7
Washington,5,phone,King,ALL,0,1795,0.0
Washington,5,address,King,ALL,0,1795,0.0
Washington,5,combined,King,ALL,0,1795,0.0
Washington,2,phone,Pierce,ALL,47,1052,4.5
Washington,2,address,Pierce,ALL,2,1052,0.2
Washington,2,combined,Pierce,ALL,49,1052,4.7
Washington,3,phone,Pierce,ALL,13,1052,1.2
Washington,3,address,Pierce,ALL,0,1052,0.0
Washington,3,combined,Pierce,ALL,13,1052,1.2
Washington,4,phone,Pierce,ALL,4,1052,0.4
Washington,4,address,Pierce,ALL,0,1052,0.0
Washington,4,combined,Pierce,ALL,4,1052,0.4
Washington,5,phone,Pierce,ALL,0,1052,0.0
Washington,5,address,Pierce,ALL,0,1052,0.0
Washington,5,combined,Pierce,ALL,0,1052,0.0
Washington,2,phone,Spokane,ALL,22,610,3.6
Washington,2,address,Spokane,ALL,0,610,0.0
Washington,2,combined,Spokane,ALL,22,610,3.6
Washington,3,phone,Spokane,ALL,4,610,0.7
Washington,3,address,Spokane,ALL,0,610,0.0
Washington,3,combined,Spokane,ALL,4,610,0.7
Washington,4,phone,Spokane,ALL,4,610,0.7
Washington,4,address,Spokane,ALL,0,610,0.0
Washington,4,combined,Spokane,ALL,4,610,0.7
Washington,5,phone,Spokane,ALL,0,610,0.0
Washington,5,address,Spokane,ALL,0,610,0.0
Washington,5,combined,Spokane,ALL,0,610,0.0
Washington,2,phone,ALL,AFH (single type),164,3457,4.7
Washington,2,address,ALL,AFH (single type),2,3457,0.1
Washington,2,combined,ALL,AFH (single type),166,3457,4.8
Washington,3,phone,ALL,AFH (single type),50,3457,1.4
Washington,3,address,ALL,AFH (single type),0,3457,0.0
Washington,3,combined,ALL,AFH (single type),50,3457,1.4
Washington,4,phone,ALL,AFH (single type),20,3457,0.6
Washington,4,address,ALL,AFH (single type),0,3457,0.0
Washington,4,combined,ALL,AFH (single type),20,3457,0.6
Washington,5,phone,ALL,AFH (single type),0,3457,0.0
Washington,5,address,ALL,AFH (single type),0,3457,0.0
Washington,5,combined,ALL,AFH (single type),0,3457,0.0
Oregon,2,phone,ALL,ALL,101,792,12.8
Oregon,2,address,ALL,ALL,59,792,7.4
Oregon,2,combined,ALL,ALL,110,792,13.9
Oregon,3,phone,ALL,ALL,5,792,0.6
Oregon,3,address,ALL,ALL,3,792,0.4
Oregon,3,combined,ALL,ALL,8,792,1.0
Oregon,4,phone,ALL,ALL,5,792,0.6
Oregon,4,address,ALL,ALL,0,792,0.0
Oregon,4,combined,ALL,ALL,5,792,0.6
Oregon,5,phone,ALL,ALL,5,792,0.6
Oregon,5,address,ALL,ALL,0,792,0.0
Oregon,5,combined,ALL,ALL,5,792,0.6
Oregon,2,phone,Clackamas,ALL,48,324,14.8
Oregon,2,address,Clackamas,ALL,24,324,7.4
Oregon,2,combined,Clackamas,ALL,52,324,16.0
Oregon,3,phone,Clackamas,ALL,4,324,1.2
Oregon,3,address,Clackamas,ALL,3,324,0.9
Oregon,3,combined,Clackamas,ALL,7,324,2.2
Oregon,4,phone,Clackamas,ALL,4,324,1.2
Oregon,4,address,Clackamas,ALL,0,324,0.0
Oregon,4,combined,Clackamas,ALL,4,324,1.2
Oregon,5,phone,Clackamas,ALL,4,324,1.2
Oregon,5,address,Clackamas,ALL,0,324,0.0
Oregon,5,combined,Clackamas,ALL,4,324,1.2
Oregon,2,phone,Washington,ALL,53,468,11.3
Oregon,2,address,Washington,ALL,35,468,7.5
Oregon,2,combined,Washington,ALL,58,468,12.4
Oregon,3,phone,Washington,ALL,1,468,0.2
Oregon,3,address,Washington,ALL,0,468,0.0
Oregon,3,combined,Washington,ALL,1,468,0.2
Oregon,4,phone,Washington,ALL,1,468,0.2
Oregon,4,address,Washington,ALL,0,468,0.0
Oregon,4,combined,Washington,ALL,1,468,0.2
Oregon,5,phone,Washington,ALL,1,468,0.2
Oregon,5,address,Washington,ALL,0,468,0.0
Oregon,5,combined,Washington,ALL,1,468,0.2
Oregon,2,phone,ALL,AFH,22,629,3.5
Oregon,2,address,ALL,AFH,2,629,0.3
Oregon,2,combined,ALL,AFH,24,629,3.8
Oregon,3,phone,ALL,AFH,0,629,0.0
Oregon,3,address,ALL,AFH,0,629,0.0
Oregon,3,combined,ALL,AFH,0,629,0.0
Oregon,4,phone,ALL,AFH,0,629,0.0
Oregon,4,address,ALL,AFH,0,629,0.0
Oregon,4,combined,ALL,AFH,0,629,0.0
Oregon,5,phone,ALL,AFH,0,629,0.0
Oregon,5,address,ALL,AFH,0,629,0.0
Oregon,5,combined,ALL,AFH,0,629,0.0
Oregon,2,phone,ALL,ALF,33,60,55.0
Oregon,2,address,ALL,ALF,25,60,41.7
Oregon,2,combined,ALL,ALF,35,60,58.3
Oregon,3,phone,ALL,ALF,0,60,0.0
Oregon,3,address,ALL,ALF,1,60,1.7
Oregon,3,combined,ALL,ALF,1,60,1.7
Oregon,4,phone,ALL,ALF,0,60,0.0
Oregon,4,address,ALL,ALF,0,60,0.0
Oregon,4,combined,ALL,ALF,0,60,0.0
Oregon,5,phone,ALL,ALF,0,60,0.0
Oregon,5,address,ALL,ALF,0,60,0.0
Oregon,5,combined,ALL,ALF,0,60,0.0
Oregon,2,phone,ALL,NF,3,22,13.6
Oregon,2,address,ALL,NF,5,22,22.7
Oregon,2,combined,ALL,NF,6,22,27.3
Oregon,3,phone,ALL,NF,0,22,0.0
Oregon,3,address,ALL,NF,1,22,4.5
Oregon,3,combined,ALL,NF,1,22,4.5
Oregon,4,phone,ALL,NF,0,22,0.0
Oregon,4,address,ALL,NF,0,22,0.0
Oregon,4,combined,ALL,NF,0,22,0.0
Oregon,5,phone,ALL,NF,0,22,0.0
Oregon,5,address,ALL,NF,0,22,0.0
Oregon,5,combined,ALL,NF,0,22,0.0
Oregon,2,phone,ALL,RCF,43,81,53.1
Oregon,2,address,ALL,RCF,27,81,33.3
Oregon,2,combined,ALL,RCF,45,81,55.6
Oregon,3,phone,ALL,RCF,5,81,6.2
Oregon,3,address,ALL,RCF,1,81,1.2
Oregon,3,combined,ALL,RCF,6,81,7.4
