facility_id,License_Status,County,Licensed_Capacity,Specialty,Contract,RCS_Region_Unit,Has_Public_Reports,DateAccessed,Medicaid_Contract_Flag,n_inspections,n_investigations,n_enforcement,n_limitations,n_civil_fines,n_stop_placement,n_conditions,n_docs_total,latest_year,latest_enforcement_year,addr_shared_count,phone_shared_count,cluster_id
F00001,OP,King,5,"Mental Health, Dementia",,2E,,2026-06-26,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
F00002,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2I,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F00003,OP,King,6,"Mental Health, Dementia",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2024,,1,1,
F00004,OP,Pierce,6,Dementia,"Adult Family Home, Expanded Community Services",3F,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2023,,1,1,
F00005,OP,Spokane,4,"Mental Health, Developmental Disabilities",Adult Family Home,1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F00006,OP,Pierce,6,"Mental Health, Dementia",Adult Family Home,3A,,2026-06-26,Yes (has DSHS contract),1,2,0,0,0,0,0,3,2025,,1,1,
F00007,OP,King,6,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,2I,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F00008,OP,King,6,"Mental Health, Dementia, Developmental Disabilities",,2E,,2026-06-26,No/Unknown,1,0,0,0,0,0,0,1,2024,,1,1,
F00009,OP,Spokane,2,Developmental Disabilities,"Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2025,,1,1,
F00010,OP,King,5,Developmental Disabilities,Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F00011,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2025,,1,1,
F00012,OP,Spokane,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2023,,1,1,
F00013,OP,King,6,,Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F00014,OP,King,6,Developmental Disabilities,"Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F00015,OP,Spokane,3,"Mental Health, Dementia",Adult Family Home,1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2025,,1,1,
F00016,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",3F,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F00017,OP,King,3,"Dementia, Developmental Disabilities",Adult Family Home,2G,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F00018,OP,Pierce,5,Developmental Disabilities,Adult Family Home,3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F00019,OP,King,6,Dementia,"Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F00020,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2024,,1,2,OP069
F00021,OP,Spokane,6,Developmental Disabilities,"Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F00022,OP,King,3,"Mental Health, Dementia",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F00023,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",3F,,2026-06-26,Yes (has DSHS contract),0,1,0,0,0,0,0,1,2025,,1,1,
F00024,OP,Pierce,5,Developmental Disabilities,Adult Family Home,3F,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F00025,OP,King,5,Developmental Disabilities,"Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),0,1,0,0,0,0,0,1,2024,,1,1,
F00026,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2025,,1,1,
F00027,OP,Pierce,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2023,,1,1,
F00028,OP,Pierce,6,Mental Health,Adult Family Home,3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F00029,OP,Pierce,4,"Mental Health, Developmental Disabilities",Adult Family Home,3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F00030,OP,King,6,"Mental Health, Dementia",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2023,,1,1,
F00031,OP,King,4,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,1,1,0,1,0,0,3,2023,2023,1,1,
F00032,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F00033,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2G,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F00034,OP,King,6,"Mental Health, Dementia",Adult Family Home,2G,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F00035,OP,King,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F00036,OP,King,6,"Mental Health, Dementia",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F00037,OP,King,5,"Mental Health, Dementia, Developmental Disabilities",,2I,,2026-06-26,No/Unknown,1,0,0,0,0,0,0,1,2025,,1,1,
F00038,OP,Pierce,6,Dementia,,3A,,2026-06-26,No/Unknown,1,2,1,0,1,0,0,4,2024,2024,1,1,
F00039,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F00040,OP,King,6,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,0,1,0,0,0,0,2,2026,2026,1,1,
F00041,OP,Spokane,6,"Mental Health, Dementia",Adult Family Home,1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2025,,1,1,
F00042,OP,King,6,"Mental Health, Dementia, Developmental Disabilities",,2E,,2026-06-26,No/Unknown,1,0,0,0,0,0,0,1,2024,,1,1,
F00043,OP,King,6,"Mental Health, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),1,0,1,0,1,0,0,2,2024,2024,1,1,
F00044,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2025,,1,1,
F00045,OP,Pierce,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3F,,2026-06-26,Yes (has DSHS contract),2,1,0,0,0,0,0,3,2025,,1,3,OP045
F00046,OP,Pierce,6,"Mental Health, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2024,,1,1,
F00047,OP,Spokane,5,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F00048,OP,King,6,Dementia,"Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2I,,2026-06-26,Yes (has DSHS contract),1,0,1,0,1,0,0,2,2026,2025,1,1,
F00049,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2I,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F00050,OP,Pierce,3,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F00051,OP,King,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2G,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F00052,OP,King,4,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,0,1,0,1,0,0,2,2023,2023,1,1,
F00053,OP,King,6,"Mental Health, Dementia",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F00054,OP,Spokane,6,"Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2025,,1,1,
F00055,OP,King,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,2,OP003
F00056,OP,Spokane,6,"Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2025,,1,1,
F00057,OP,King,4,"Mental Health, Dementia",,2E,,2026-06-26,No/Unknown,1,0,0,0,0,0,0,1,2025,,1,1,
F00058,OP,King,2,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F00059,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2023,,1,2,OP069
F00060,OP,King,5,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F00061,OP,Spokane,2,"Mental Health, Dementia",,1E,,2026-06-26,No/Unknown,1,0,0,0,0,0,0,1,2023,,1,1,
