facility_id,County,n_inspections,n_investigations,n_enforcement,n_limitations,n_other,n_docs_total,n_civil_fines,n_stop_placement,n_conditions,years_present,latest_year,latest_enforcement_year,fetch_status
F00008,King,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F00007,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F00009,Spokane,2,0,0,0,0,2,0,0,0,"2023,2025",2025,,ok
F00005,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F00003,King,1,1,0,0,0,2,0,0,0,2024,2024,,ok
F00012,Spokane,1,0,0,0,0,1,0,0,0,2023,2023,,ok
F00013,King,0,0,0,0,0,0,0,0,0,,,,ok
F00015,Spokane,2,0,0,0,0,2,0,0,0,"2023,2025",2025,,ok
F00011,Spokane,2,0,0,0,0,2,0,0,0,"2023,2025",2025,,ok
F00014,King,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F00016,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F00018,Pierce,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F00017,King,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F00019,King,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F00020,Spokane,2,0,0,0,0,2,0,0,0,"2023,2024",2024,,ok
F00021,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F00024,Pierce,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F00023,Pierce,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F00022,King,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F00025,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F00026,Spokane,2,0,0,0,0,2,0,0,0,"2023,2025",2025,,ok
F00029,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F00027,Pierce,1,0,0,0,0,1,0,0,0,2023,2023,,ok
F00028,Pierce,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F00030,King,1,0,0,0,0,1,0,0,0,2023,2023,,ok
F00031,King,1,1,1,0,0,3,1,0,0,2023,2023,2023,ok
F00032,King,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F00035,King,0,0,0,0,0,0,0,0,0,,,,ok
F00033,King,0,0,0,0,0,0,0,0,0,,,,ok
F00034,King,1,1,0,0,0,2,0,0,0,2025,2025,,ok
F00036,King,1,1,0,0,0,2,0,0,0,2025,2025,,ok
F00037,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F00038,Pierce,1,2,1,0,0,4,1,0,0,2024,2024,2024,ok
F00040,King,1,0,1,0,0,2,0,0,0,"2024,2026",2026,2026,ok
F00039,King,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F00041,Spokane,2,0,0,0,0,2,0,0,0,"2023,2025",2025,,ok
F00042,King,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F00044,Spokane,2,0,0,0,0,2,0,0,0,"2023,2025",2025,,ok
F00045,Pierce,2,1,0,0,0,3,0,0,0,"2023,2025",2025,,ok
F00043,King,1,0,1,0,0,2,1,0,0,2024,2024,2024,ok
F00046,Pierce,1,1,0,0,0,2,0,0,0,2024,2024,,ok
F00047,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F00048,King,1,0,1,0,0,2,1,0,0,"2025,2026",2026,2025,ok
F00049,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
