facility_id,County,Licensed_Capacity,Medicaid_Contract_Flag,Specialty,Contract,n_inspections,n_investigations,n_enforcement,n_civil_fines,n_stop_placement,n_conditions,phone_shared_count,RF03_multi_home_operator,RF08_network_cluster,high_complaint_load,has_enforcement,has_stop_placement,has_condition,RF06_exclusion_match,latest_enforcement_year
F00001,King,5,No/Unknown,"Mental Health, Dementia",,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00002,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00003,King,6,Yes (has DSHS contract),"Mental Health, Dementia",Adult Family Home,1,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00004,Pierce,6,Yes (has DSHS contract),Dementia,"Adult Family Home, Expanded Community Services",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00005,Spokane,4,Yes (has DSHS contract),"Mental Health, Developmental Disabilities",Adult Family Home,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00006,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia",Adult Family Home,1,2,0,0,0,0,1,False,False,False,False,False,False,False,
F00007,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00008,King,6,No/Unknown,"Mental Health, Dementia, Developmental Disabilities",,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00009,Spokane,2,Yes (has DSHS contract),Developmental Disabilities,"Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00010,King,5,Yes (has DSHS contract),Developmental Disabilities,Adult Family Home,1,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00011,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services",2,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00012,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00013,King,6,Yes (has DSHS contract),,Adult Family Home,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00014,King,6,Yes (has DSHS contract),Developmental Disabilities,"Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00015,Spokane,3,Yes (has DSHS contract),"Mental Health, Dementia",Adult Family Home,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
